date,product,units_sold,stock_level,reorder_point
2025-08-01,Wireless Mouse,12,180,50
2025-08-01,Mechanical Keyboard,5,90,30
2025-08-01,USB-C Hub,8,60,40
2025-08-01,Desk Lamp,0,25,20
2025-08-01,Webcam HD,3,15,25
2025-08-02,Wireless Mouse,15,168,50
2025-08-02,Mechanical Keyboard,4,86,30
2025-08-02,USB-C Hub,,58,40
2025-08-02,Desk Lamp,0,25,20
2025-08-02,Webcam HD,2,13,25
2025-08-03,Wireless Mouse,10,158,50
2025-08-03,Mechanical Keyboard,6,80,30
2025-08-03,USB-C Hub,7,51,40
2025-08-03,Desk Lamp,0,25,20
2025-08-03,Webcam HD,4,9,25
2025-08-04,Wireless Mouse,14,144,50
2025-08-04,Mechanical Keyboard,,74,30
2025-08-04,USB-C Hub,9,42,40
2025-08-04,Desk Lamp,0,25,20
2025-08-04,Webcam HD,1,8,25
2025-08-05,Wireless Mouse,11,133,50
2025-08-05,Mechanical Keyboard,5,69,30
2025-08-05,USB-C Hub,6,36,40
2025-08-05,Desk Lamp,0,25,20
2025-08-05,Webcam HD,2,6,25
2025-08-06,Wireless Mouse,-3,140,50
2025-08-06,Mechanical Keyboard,7,62,30
2025-08-06,USB-C Hub,8,28,40
2025-08-06,Desk Lamp,0,25,20
2025-08-06,Webcam HD,3,3,25
2025-02-30,Wireless Mouse,9,131,50
2025-08-07,Mechanical Keyboard,4,58,30
2025-08-07,USB-C Hub,5,23,40
2025-08-07,USB-C Hub,5,23,40
2025-08-07,Desk Lamp,0,25,20
2025-08-07,Webcam HD,1,2,25
